id,archiveIdentifier,archiveFile,title,artist,album,quadrant,valence,energy,instrumentalness,speechiness,danceability,durationMs,analysisConfidence,categorySource,audioUrl,downloadUrl,externalUrl,licenseUrl,sourceSearch
archive-NS050-1-01-NS050-Multi-Panel_Christmas-With-Mr-Rice-mp3,NS050,01-NS050-Multi-Panel_Christmas-With-Mr-Rice.mp3,Christmas with Mr. Rice,Multi-Panel,"Another Day, Another Way",happy,0.7372,0.6216,0.9,0.04,0.5554,240900,0.9,internet_archive_metadata_query,https://archive.org/download/NS050/01-NS050-Multi-Panel_Christmas-With-Mr-Rice.mp3,https://archive.org/download/NS050/01-NS050-Multi-Panel_Christmas-With-Mr-Rice.mp3,https://archive.org/details/NS050,http://creativecommons.org/licenses/by-nc-sa/4.0/,happy-upbeat-instrumental
archive-NS050-2-02-NS050-Full-Source_Prior-To-alt-ver-mp3,NS050,02-NS050-Full-Source_Prior-To-alt-ver.mp3,Prior To (alt. ver.),Full-Source,"Another Day, Another Way",happy,0.7372,0.6216,0.9,0.04,0.5554,167970,0.9,internet_archive_metadata_query,https://archive.org/download/NS050/02-NS050-Full-Source_Prior-To-alt-ver.mp3,https://archive.org/download/NS050/02-NS050-Full-Source_Prior-To-alt-ver.mp3,https://archive.org/details/NS050,http://creativecommons.org/licenses/by-nc-sa/4.0/,happy-upbeat-instrumental
archive-lbn016Plusplus-gameOver-1-01Plusplus-AnimalMasks-mp3,lbn016Plusplus-gameOver,01Plusplus-AnimalMasks.mp3,01 Plusplus - Animal Masks,Plusplus,"[LBN016] Plusplus - ""Game Over""",relaxed,0.6012,0.3232,0.9,0.04,0.328,116000,0.7,internet_archive_metadata_query,https://archive.org/download/lbn016Plusplus-gameOver/01Plusplus-AnimalMasks.mp3,https://archive.org/download/lbn016Plusplus-gameOver/01Plusplus-AnimalMasks.mp3,https://archive.org/details/lbn016Plusplus-gameOver,http://creativecommons.org/licenses/by-nc-sa/3.0/,relaxed-calm-instrumental
archive-lbn016Plusplus-gameOver-2-02Plusplus-SongForSonny-mp3,lbn016Plusplus-gameOver,02Plusplus-SongForSonny.mp3,02 Plusplus - Song for Sonny,Plusplus,"[LBN016] Plusplus - ""Game Over""",relaxed,0.6012,0.3232,0.9,0.04,0.328,341570,0.7,internet_archive_metadata_query,https://archive.org/download/lbn016Plusplus-gameOver/02Plusplus-SongForSonny.mp3,https://archive.org/download/lbn016Plusplus-gameOver/02Plusplus-SongForSonny.mp3,https://archive.org/details/lbn016Plusplus-gameOver,http://creativecommons.org/licenses/by-nc-sa/3.0/,relaxed-calm-instrumental
archive-wh055-1-wh055_A01_Quiet_American_Khulna_Station-mp3,wh055,wh055_A01_Quiet_American_Khulna_Station.mp3,Khulna Station (for Andrew Raffo Dewar),Quiet American,Various Artists - Far Afield: A Webbed Hand Compilation [wh055],tense,0.3592,0.6104,0.9,0.04,0.4797,355290,0.76,internet_archive_metadata_query,https://archive.org/download/wh055/wh055_A01_Quiet_American_Khulna_Station.mp3,https://archive.org/download/wh055/wh055_A01_Quiet_American_Khulna_Station.mp3,https://archive.org/details/wh055,http://creativecommons.org/licenses/by-nc-nd/3.0/us/,tense-dark-instrumental
archive-wh055-2-wh055_A02_Erick_Gallun_Open_Field_Decay-mp3,wh055,wh055_A02_Erick_Gallun_Open_Field_Decay.mp3,Open Field Decay,Erick Gallun,Various Artists - Far Afield: A Webbed Hand Compilation [wh055],tense,0.3592,0.6104,0.9,0.04,0.4797,180230,0.76,internet_archive_metadata_query,https://archive.org/download/wh055/wh055_A02_Erick_Gallun_Open_Field_Decay.mp3,https://archive.org/download/wh055/wh055_A02_Erick_Gallun_Open_Field_Decay.mp3,https://archive.org/details/wh055,http://creativecommons.org/licenses/by-nc-nd/3.0/us/,tense-dark-instrumental
archive-foot149-1-foot149_01-duis-ea1-mp3,foot149,foot149_01-duis-ea1.mp3,Ea1,Duis,Duis [foot149],happy,0.7372,0.672,0.9,0.04,0.5897,143840,0.76,internet_archive_metadata_query,https://archive.org/download/foot149/foot149_01-duis-ea1.mp3,https://archive.org/download/foot149/foot149_01-duis-ea1.mp3,https://archive.org/details/foot149,http://creativecommons.org/licenses/by-nc-sa/3.0/,happy-upbeat-instrumental
archive-foot149-2-foot149_02-duis-watch_the-mp3,foot149,foot149_02-duis-watch_the.mp3,Watch The,Duis,Duis [foot149],happy,0.7372,0.672,0.9,0.04,0.5897,165990,0.76,internet_archive_metadata_query,https://archive.org/download/foot149/foot149_02-duis-watch_the.mp3,https://archive.org/download/foot149/foot149_02-duis-watch_the.mp3,https://archive.org/details/foot149,http://creativecommons.org/licenses/by-nc-sa/3.0/,happy-upbeat-instrumental
archive-pj007-1-1rockerfattomale-mp3,pj007,1rockerfattomale.mp3,rocker fatto male,Tagliogrezzo,Tagliogrezzo - Acqua e Sapone - [pj007],relaxed,0.6408,0.352,0.9,0.04,0.3547,206050,0.7,internet_archive_metadata_query,https://archive.org/download/pj007/1rockerfattomale.mp3,https://archive.org/download/pj007/1rockerfattomale.mp3,https://archive.org/details/pj007,http://creativecommons.org/licenses/by-nc-sa/2.5/,relaxed-calm-instrumental
archive-pj007-2-2erobello-mp3,pj007,2erobello.mp3,ero bello,Tagliogrezzo,Tagliogrezzo - Acqua e Sapone - [pj007],relaxed,0.6408,0.352,0.9,0.04,0.3547,285720,0.7,internet_archive_metadata_query,https://archive.org/download/pj007/2erobello.mp3,https://archive.org/download/pj007/2erobello.mp3,https://archive.org/details/pj007,http://creativecommons.org/licenses/by-nc-sa/2.5/,relaxed-calm-instrumental
