id,trackGenre,trackGenreLabel,title,artist,popularity,valence,energy,quadrant,spotifyId,youtubeVideoId,youtubeUrl,youtubeSearchUrl
spotify-1BncfTJAWxrsxyT9culBrj,ambient,Ambient,Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani",79,0.036,0.449,sad_low,1BncfTJAWxrsxyT9culBrj,1e9B31FLT-s,https://www.youtube.com/watch?v=1e9B31FLT-s,https://www.youtube.com/results?search_query=Ludovico%20Einaudi%2C%20Daniel%20Hope%2C%20I%20Virtuosi%20Italiani%20Experience%20official%20audio
spotify-2aJDlirz6v2a4HREki98cP,ambient,Ambient,Glue,Bicep,74,0.42,0.798,tense,2aJDlirz6v2a4HREki98cP,q5rliCxX8xc,https://www.youtube.com/watch?v=q5rliCxX8xc,https://www.youtube.com/results?search_query=Bicep%20Glue%20official%20audio
spotify-3weNRklVDqb4Rr5MhKBR3D,ambient,Ambient,Nuvole Bianche,Ludovico Einaudi,73,0.0454,0.0582,sad_low,3weNRklVDqb4Rr5MhKBR3D,sR2W2scFS4Y,https://www.youtube.com/watch?v=sR2W2scFS4Y,https://www.youtube.com/results?search_query=Ludovico%20Einaudi%20Nuvole%20Bianche%20official%20audio
spotify-14rZjW3RioG7WesZhYESso,ambient,Ambient,"Comptine d'un autre été, l'après-midi",Yann Tiersen,73,0.0542,0.192,sad_low,14rZjW3RioG7WesZhYESso,znfYwABeSZ0,https://www.youtube.com/watch?v=znfYwABeSZ0,https://www.youtube.com/results?search_query=Yann%20Tiersen%20Comptine%20d'un%20autre%20%C3%A9t%C3%A9%2C%20l'apr%C3%A8s-midi%20official%20audio
spotify-0Dkibk70FDp6t7eOZNemNQ,ambient,Ambient,Una Mattina,Ludovico Einaudi,70,0.07,0.0297,sad_low,0Dkibk70FDp6t7eOZNemNQ,IukERq7ROO4,https://www.youtube.com/watch?v=IukERq7ROO4,https://www.youtube.com/results?search_query=Ludovico%20Einaudi%20Una%20Mattina%20official%20audio
spotify-2agBDIr9MYDUducQPC1sFU,piano,Piano,River Flows In You,Yiruma,71,0.116,0.22,sad_low,2agBDIr9MYDUducQPC1sFU,92IlKBhKbWM,https://www.youtube.com/watch?v=92IlKBhKbWM,https://www.youtube.com/results?search_query=Yiruma%20River%20Flows%20In%20You%20official%20audio
spotify-2p5THyuNwpJ9c7ex3TN383,piano,Piano,Nowesind,Jacob David,70,0.318,0.0902,sad_low,2p5THyuNwpJ9c7ex3TN383,Em2sd4J2Snc,https://www.youtube.com/watch?v=Em2sd4J2Snc,https://www.youtube.com/results?search_query=Jacob%20David%20Nowesind%20official%20audio
spotify-2bjQvSk5T3A2dmnqqeRhzI,piano,Piano,Saying Things,Emanuel Fremont,70,0.0631,0.0381,sad_low,2bjQvSk5T3A2dmnqqeRhzI,3FqLaXr8Isc,https://www.youtube.com/watch?v=3FqLaXr8Isc,https://www.youtube.com/results?search_query=Emanuel%20Fremont%20Saying%20Things%20official%20audio
spotify-2XPxkVgxyj4QVaW78kS5vb,piano,Piano,Estelle,Doris Casella,69,0.151,0.0575,sad_low,2XPxkVgxyj4QVaW78kS5vb,_R8iJqVkADU,https://www.youtube.com/watch?v=_R8iJqVkADU,https://www.youtube.com/results?search_query=Doris%20Casella%20Estelle%20official%20audio
spotify-3VM35337X7Ro1tesUHnZ95,piano,Piano,Quand vous souriez,Libor Kolman,69,0.308,0.059,sad_low,3VM35337X7Ro1tesUHnZ95,T0Bw9lvR3lo,https://www.youtube.com/watch?v=T0Bw9lvR3lo,https://www.youtube.com/results?search_query=Libor%20Kolman%20Quand%20vous%20souriez%20official%20audio
spotify-0jOnZhF75V68VsBObWx2XO,classical,Classical,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)","Camille Saint-Saëns, Yo-Yo Ma, Kathryn Stott",70,0.0573,0.0161,sad_low,0jOnZhF75V68VsBObWx2XO,3FOnCRhTM8k,https://www.youtube.com/watch?v=3FOnCRhTM8k,https://www.youtube.com/results?search_query=Camille%20Saint-Sa%C3%ABns%2C%20Yo-Yo%20Ma%2C%20Kathryn%20Stott%20The%20Carnival%20of%20the%20Animals%2C%20R.%20125%3A%20XIII.%20The%20Swan%20(Arr.%20for%20Cello%20and%20Piano)%20official%20audio
